Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
Bronx-Lebanon Hospital Center - HH CM,1276 Fulton Avenue,Bronx,10456,40.831406,-73.903219,Health Care,Mental Health,Support Mental Health
Innovative services for Seniors,5676 Riverdale Avenue,Bronx,10471,40.906249,-73.903772,Health Care,Mental Health,Support Mental Health
ACT Team,3050 White Plains Road,Bronx,10467,40.870473,-73.866834,Health Care,Mental Health,Outpatient Mental Health
Jacobi Behavioral Health Care Services CPEP,1400 Pelham Parkway South,Bronx,10461,40.856478,-73.847548,Health Care,Mental Health,Emergency Mental Health
Institute for Community Living - C&Y BCM,2384 Atlantic Avenue,Brooklyn,11233,40.675776,-73.905906,Health Care,Mental Health,Support Mental Health
Salvation Army Brownsville,280 Riverdale Avenue,Brooklyn,11212,40.661066,-73.906194,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Our Lady of Refuge RC Church,2020 Foster Avenue,Brooklyn,11210,40.636449,-73.957609,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bedford Health Center,485 Throop Avenue,Brooklyn,11221,40.685519,-73.941142,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Academy Of Personal Leadership And Excellence,120 East  184 Street,Bronx,10468,40.859479,-73.900501,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Cuyler Warren United Methodist Church,450 Warren Street,Brooklyn,11217,40.683461,-73.986886,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Monroe Academy For Visual Arts & Design,1300 Boynton Avenue,Bronx,10472,40.832034,-73.878476,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Washington Avenue,1138 Washington Avenue,Bronx,10456,40.829295,-73.907733,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Elmcor Youth & Adult Activities Inc,95-18 Northern Boulevard,Jackson Heights,11372,40.756605,-73.872406,Human Services,Senior Services,Neighborhood Senior Centers
Lee,133 Pitt Street,New York,10002,40.720484,-73.981738,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Counseling Services Unit,189 Montague Street,Brooklyn,11201,40.694595,-73.991647,Health Care,Mental Health,Support Mental Health
Pelham Gardens Middle School,2545 Gunther Avenue,Bronx,10469,40.864306,-73.836551,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Kingsboro PC - HHCM,681 Clarkson Avenue,Brooklyn,11203,40.656608,-73.936237,Health Care,Mental Health,Support Mental Health
PS 75,984 Faile Street,Bronx,10459,40.82232,-73.888991,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Personal Touch Home Aides of New York Inc,3632 Nostrand Avenue,Brooklyn,11229,40.595228,-73.941243,Health Care,Other Health Care,Certified Home Health Agency
Martin Van Buren High School,230-17 Hillside Avenue,Queens Village,11427,40.733769,-73.739231,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
M.S. 250 West Side Collaborative Middle School,735 West End Avenue,New York,10025,40.795112,-73.973966,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Dreamyard Preparatory School,240 East  172 Street,Bronx,10457,40.839581,-73.911303,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Community Food Pantry @ Highbridge,1363 Ogden Avenue,Bronx,10452,40.84177,-73.924923,Human Services,Soup Kitchens and Food Pantries,Food Pantry
The Guidance Center of Brooklyn Heights,25 Chapel Street,Brooklyn,11201,40.697428,-73.985856,Health Care,Mental Health,Outpatient Mental Health
Bethel Holy Church,922 St Nicholas Avenue,New York,10032,40.831506,-73.940827,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Montefiore Medical Center Child/Adult OPD,111 East  210 Street,Bronx,10467,40.880428,-73.879895,Health Care,Mental Health,Outpatient Mental Health
Canaan Baptist Church Of Christ,10 Lenox Avenue,New York,10026,40.798527,-73.951732,Human Services,Senior Services,Neighborhood Senior Centers
Bronx,258 East  138 Street,Bronx,10451,40.811188,-73.927788,Child Services and Welfare,"Preventative Care, Evaluation Services, and Respite",Mental Health Evaluation Services
Workshop Program CSS,548 Broadway,New York,10012,40.723331,-73.997859,Health Care,Mental Health,Support Mental Health
Peer Advocacy,184-10 Jamaica Avenue,Hollis,11423,40.70892,-73.77447,Health Care,Mental Health,Support Mental Health
GMHC Mental Health Clinic,446 West   33 Street,New York,10001,40.753572,-73.998798,Health Care,Mental Health,Outpatient Mental Health
Bronx Friendship House,2705 Schley Avenue,Bronx,10465,40.821897,-73.827558,Health Care,Mental Health,Support Mental Health
Mount Sinai Partial Hospitalization Program,1249 5 Avenue,New York,10029,40.793747,-73.95097,Health Care,Mental Health,Outpatient Mental Health
Opportunity Charter School,240 West  113 Street,New York,10026,40.801583,-73.955494,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
William Hodson Community Center Inc,1320 Webster Avenue,Bronx,10456,40.834136,-73.908017,Human Services,Senior Services,Neighborhood Senior Centers
Fort Greene Hazel Brooks Neighborhood Center,961 Ocean Avenue,Brooklyn,11226,40.638986,-73.958635,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Coney Island Hospital Child and Adult Outpatient Clinic Prog,2601 Ocean Parkway,Brooklyn,11235,40.58608,-73.965599,Health Care,Mental Health,Outpatient Mental Health
Laguardia Community College,31-10 Thomson Avenue,Long Island City,11101,40.743981,-73.935098,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
W. 53rd St.,552 West   53 Street,New York,10019,40.767403,-73.993061,Human Services,Permanent Supportive SRO Housing,Supportive Housing
P.S. 81 Thaddeus Stevens School,990 Dekalb Avenue,Brooklyn,11221,40.692939,-73.934692,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Jewish Comm Council of Canarsie,1180 Pennsylvania Avenue,Brooklyn,11207,40.65098,-73.886682,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 48,1290 Spofford Avenue,Bronx,10474,40.814116,-73.886866,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Children's Therapeutic Pre-school,1727 Amsterdam Avenue,New York,10031,40.82539,-73.946922,Health Care,Mental Health,Outpatient Mental Health
Brooklyn PSychosocial Club,57 Willoughby Street,Brooklyn,11201,40.692538,-73.986529,Health Care,Mental Health,Support Mental Health
Riverdale PROS,5676 Riverdale Avenue,Bronx,10471,40.906249,-73.903772,Health Care,Mental Health,Outpatient Mental Health
Forensic Linkage - Transition - Non Medicaid CC,175 Remsen Street,Brooklyn,11201,40.69348,-73.991414,Health Care,Mental Health,Support Mental Health
Elmhurst ACT Program,12-26 31 Avenue,Astoria,11106,40.768185,-73.932516,Health Care,Mental Health,Outpatient Mental Health
Lower East Side Service Center CDTP,46 East Broadway,New York,10002,40.713777,-73.995863,Health Care,Mental Health,Outpatient Mental Health
Sephardic Bikur Holim Clinic,1955 Mc Donald Avenue,Brooklyn,11223,40.605035,-73.971912,Health Care,Mental Health,Outpatient Mental Health
Science & Technology Academy: A Mott Hall School,250 East  164 Street,Bronx,10456,40.828117,-73.917621,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Joshua and Caleb Ministries Inc,1688 Webster Avenue,Bronx,10457,40.842825,-73.903309,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New York Flushing Hospital and Medical Center Clinic,146-01 45 Avenue,Flushing,11355,40.755089,-73.81718,Health Care,Mental Health,Outpatient Mental Health
Visiting Nurse Service of New York Home Care,1250 Broadway,New York,10001,40.747729,-73.987834,Health Care,Other Health Care,Long Term Home Health Care Program
Davidson Community Center,2038 Davidson Avenue,Bronx,10453,40.853537,-73.908467,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Family Access to Counseling and Evaluation Services,738 Crown Street,Brooklyn,11213,40.665107,-73.933185,Health Care,Mental Health,Outpatient Mental Health
"Premier Home Health Care Services, Inc.",5 Bryant Park,New York,10018,40.754033,-73.985386,Health Care,Other Health Care,Certified Home Health Agency
The School Of Performing Arts,977 Fox Street,Bronx,10459,40.822205,-73.894432,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Staten Borough Office,350 St Marks Place,Staten Is,10301,40.641295,-74.078118,Child Services and Welfare,"Preventative Care, Evaluation Services, and Respite",Mental Health Evaluation Services
Central Brooklyn ACTT,2384 Atlantic Avenue,Brooklyn,11233,40.675776,-73.905906,Health Care,Mental Health,Outpatient Mental Health
Hunterfly Trace,430 Howard Avenue,Brooklyn,11233,40.673048,-73.91999,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Bronx High School For Medical Science,240 East  172 Street,Bronx,10457,40.839581,-73.911303,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Frederick Douglass Academy Iv Secondary School,1014 Lafayette Avenue,Brooklyn,11221,40.691611,-73.931388,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Ms 061 Dr. Gladstone H. Atwell,400 Empire Boulevard,Brooklyn,11225,40.663703,-73.948827,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Cothoa Luncheon Club Inc,2005 Amsterdam Avenue,New York,10032,40.83421,-73.940587,Human Services,Senior Services,Neighborhood Senior Centers
Church Of St. Joan Of Arch,1372 Stratford Avenue,Bronx,10472,40.833289,-73.876188,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The House of David Church,747 Hendrix Street,Brooklyn,11207,40.663198,-73.886195,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Church of God of Salvation,1615 Nostrand Avenue,Brooklyn,11226,40.646662,-73.948885,Human Services,Soup Kitchens and Food Pantries,Food Pantry
The Nathaniel ACT Program,2090 7 Avenue,New York,10027,40.808753,-73.948928,Health Care,Mental Health,Outpatient Mental Health
PS 18,101 Maujer Street,Brooklyn,11206,40.710868,-73.94668,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS 148,89-02 32 Avenue,East Elmhurst,11369,40.757971,-73.878695,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Holy Cross Church Crossroads,329 West   42 Street,New York,10036,40.758048,-73.990997,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Boys And Girls High School,1700 Fulton Street,Brooklyn,11213,40.678931,-73.931599,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Puerto Rican Family Institute Brooklyn Mental Health Clinic,28 Debevoise Street,Brooklyn,11206,40.701411,-73.941533,Health Care,Mental Health,Outpatient Mental Health
Mott Hall IIi,580 Crotona Park South,Bronx,10456,40.835036,-73.900576,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Hunts Point School,730 Bryant Avenue,Bronx,10474,40.815869,-73.885308,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Self Help Program,250 Baltic Street,Brooklyn,11201,40.686122,-73.99476,Health Care,Mental Health,Support Mental Health
Mt. Zion Church of God 7th Day,203 East   37 Street,Brooklyn,11203,40.652204,-73.942663,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PSCH - HH Non-Medicaid CM,142-02 20 Avenue,Whitestone,11357,40.78053,-73.827459,Health Care,Mental Health,Support Mental Health
P.S. 122 Mamie Fay,21-21 Ditmars Boulevard,Astoria,11105,40.780364,-73.915951,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
P.S. 34,131 Norman Avenue,Brooklyn,11222,40.726393,-73.949768,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Our World Neighborhood Charter,31-20 37 Street,Astoria,11103,40.761574,-73.91947,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Jewish Community Council Of Greater Coney Island I,3024 West   24 Street,Brooklyn,11224,40.573092,-73.990896,Human Services,Senior Services,Neighborhood Senior Centers
Yeshiva Kehilath Yakov,4706 10 Avenue,Brooklyn,11219,40.640089,-73.997913,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Hamilton Grange Middle School,500 West  138 Street,New York,10031,40.820993,-73.953069,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Central Avenue Clinic,16-22 Central Avenue,Far Rockaway,11691,40.604925,-73.752538,Health Care,Mental Health,Outpatient Mental Health
Community Partnerhip Charter School,114 Kosciuszko Street,Brooklyn,11216,40.690516,-73.94983,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Brooklyn AIDS Task force,502 Bergen Street,Brooklyn,11217,40.680384,-73.973994,Human Services,Soup Kitchens and Food Pantries,Food Pantry
CUCS ACT Program,665 Pelham Parkway North,Bronx,10467,40.858117,-73.868838,Health Care,Mental Health,Outpatient Mental Health
Pesach Tikvah Family Services Center,18 Middleton Street,Brooklyn,11206,40.700264,-73.954809,Health Care,Mental Health,Outpatient Mental Health
Camba Gardens,738 Albany Avenue,Brooklyn,11203,40.656514,-73.940009,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Columbia Secondary School,425 West  123 Street,New York,10027,40.810789,-73.956097,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
I.S. 392,104 Sutter Avenue,Brooklyn,11212,40.66538,-73.917894,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Fresh Creek School,875 Williams Avenue,Brooklyn,11207,40.654133,-73.894389,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Mobile Crisis Management - Bronx,489 East  153 Street,Bronx,10455,40.818416,-73.913747,Health Care,Mental Health,Emergency Mental Health
Kips Bay Boys And Girls Club,625 Castle Hill Avenue,Bronx,10473,40.819515,-73.848854,Human Services,Senior Services,Neighborhood Senior Centers
New Voices School Of Academic & Creative Arts,330 18 Street,Brooklyn,11215,40.660965,-73.989011,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Horeb SDA  Community Services,520 Kingston Avenue,Brooklyn,11225,40.661037,-73.943017,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New Jerusalem Baptist Church,122-05 Smith Street,Jamaica,11434,40.679741,-73.778181,Human Services,Soup Kitchens and Food Pantries,Food Pantry
New York Congregational Nursing Center LTHHCP,135 Linden Boulevard,Brooklyn,11226,40.653144,-73.954297,Health Care,Other Health Care,Long Term Home Health Care Program
